name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Destination Calabria - Radio Edit,Alex Gaudino,5TmFTHZp7HjBXjjsFvCY6h,0.627,0.954,-4.804,0.0425,0.0015,128.016,0.292,0.312
Canopée,Polo & Pan,260V7huyJrXnyYe0dFv2Fa,0.704,0.692,-6.558,0.0304,0.0942,96.005,0.0922,0.369
Backyard Boy,Claire Rosinkranz,04F42oEuKrRComYJfJuyVR,0.817,0.635,-7.246,0.163,0.323,138.015,0.0738,0.454
Paper Planes,M.I.A.,1ixbwbeBi5ufN4noUKmW5a,0.447,0.848,-6.175,0.222,0.033,172.253,0.65,0.485
Last Christmas,Wham!,38p8YDx5gepOiK4SnEfoB4,0.735,0.583,-8.648,0.0277,0.193,107.74,0.183,0.942
Moon (And It Went Like),Kid Francescoli,24upABZ8A0sAepfu91sEYr,0.662,0.657,-10.002,0.0345,0.288,117.986,0.102,0.0584
POWER,Kanye West,2gZUPNdnz5Y45eiGxpHGSc,0.542,0.914,-4.747,0.113,0.0161,153.993,0.744,0.576
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,1pjvlYOMIg1NhGQbM6iwrY,0.747,0.877,-3.782,0.0664,0.0375,107.991,0.233,0.752
Flower,Moby,2O8EVtQtfsKBABn0hOxs8Y,0.678,0.608,-5.924,0.0276,0.192,80.52,0.1,0.725
Hey Ya! - Radio Mix,Outkast,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,-2.261,0.0664,0.103,79.526,0.174,0.965
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,-7.463,0.0384,0.164,150.273,0.0708,0.35
Rock This Party - Everybody Dance Now,Bob Sinclar,0Qn0i8df7Q76ej3RAXAtI2,0.893,0.823,-3.708,0.122,0.0714,128.009,0.0509,0.902
Sunday Best,Surfaces,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,-6.832,0.0578,0.183,112.022,0.0714,0.694
One More Sleep,Leona Lewis,1kCMRwtyaXZRWhe2scYcBL,0.641,0.794,-4.906,0.0369,0.497,112.994,0.329,0.767
Baianá,Bakermat,780be5fB7823aHG06mwTat,0.587,0.722,-6.983,0.0709,0.000754,121.964,0.543,0.466
Million Voices - Radio Edit,Otto Knows,0MOiv7WTXCqvm89lVCf9C8,0.582,0.894,-6.298,0.041,0.0022,125.946,0.0664,0.0694
Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,-7.638,0.054,0.018,84.412,0.0928,0.876
Hotstepper,John Gibbons,7DC0O3pMpDFefdk51dr7pU,0.647,0.973,-3.642,0.0494,0.023,116.962,0.732,0.595
Call on Me - Radio Mix,Eric Prydz,1xNcBAoUw8Hz6LqK2jt4Ff,0.597,0.837,-6.518,0.375,0.00427,126.342,0.839,0.447
Harder (with Bebe Rexha),Jax Jones,5RgBnDtHKFHgtVdqabjGE3,0.906,0.833,-3.027,0.0729,0.0899,104.017,0.154,0.752
